"parcela","location","sizeplot","state","Name","plotID","year","owner","Alive.parcela","Dead.parcela","AGB","min.DBH","max.DBH","mean.DBH","sd.DBH","areaplot35","areaplot10","AGB10","ACD10","AGB35","ACD35","AGB.plot","ACD"
"CAU_A01 T03_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T03_P1",2018,"PaiSus",41,2,60.6674312064271,10.5,103.2,29.4225,21.596432368001,0.25,0.1,61.6902826529833,29.611335673432,215.887748449226,103.626119255629,277.57803110221,133.237454929061
"CAU_A01 T03_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T03_P2",2018,"PaiSus",40,5,28.8614750457779,10,73,21.495,15.4606854593124,0.25,0.1,73.8918780080399,35.4681014438591,85.6290230935351,41.1019310848969,159.520901101575,76.570032528756
"CAU_A01 T03_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T03_P3",2018,"PaiSus",47,0,56.7887169785387,10.2,84.4,27.2934782608696,17.6884319030378,0.25,0.1,92.2103658975541,44.260975630826,189.751082135503,91.0805194250413,281.961448033057,135.341495055867
"CAU_A01 T03_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T03_P4",2018,"PaiSus",34,4,43.6306729836673,10.5,93.5,28.8060606060606,21.0469555309363,0.25,0.1,67.187248996426,32.2498795182845,146.546670239076,70.3424017147563,213.733919235502,102.592281233041
"CAU_A01 T04_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T04_P1",2018,"PaiSus",66,1,57.0374546653742,10,96.1,22.9636363636364,16.3960561520952,0.25,0.1,100.556973160467,48.2673471170241,186.72537888868,89.6281818665663,287.282352049147,137.89552898359
"CAU_A01 T04_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T04_P2",2018,"PaiSus",48,0,28.4584298563842,10.2,58.5,22.0333333333333,13.6745194529645,0.25,0.1,78.7219311435371,37.7865269488978,82.6500195406125,39.672009379494,161.37195068415,77.4585363283918
"CAU_A01 T04_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T04_P3",2018,"PaiSus",56,6,51.9213526260066,10.5,77.4,25.7892857142857,16.5221798976839,0.25,0.1,130.629980291477,62.702390539909,155.411841801449,74.5976840646956,286.041822092926,137.300074604605
"CAU_A01 T04_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T04_P4",2018,"PaiSus",49,0,64.8012784428418,10.2,81,30.2387755102041,16.9612894597096,0.25,0.1,95.8771663858736,46.0210398652193,220.850634248614,106.008304439335,316.727800634488,152.029344304554
"CAU_A01 T05_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T05_P2",2018,"PaiSus",45,8,24.5289219035049,10.3,59.7,21.0977777777778,12.5022450509151,0.25,0.1,51.0506560100544,24.5043148848261,77.9801622319055,37.4304778713146,129.03081824196,61.9347927561408
"CAU_A01 T05_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T05_P3",2018,"PaiSus",28,4,39.3615594824968,10.5,72,30.6392857142857,19.4378275589542,0.25,0.1,38.7817850109219,18.6152568052425,141.668384838032,68.0008247222551,180.450169848953,86.6160815274976
"CAU_A01 T05_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T05_P4",2018,"PaiSus",48,7,47.3421585160567,10.5,54.8,26.5208333333333,15.2908672274458,0.25,0.1,63.3504846109336,30.4082326132481,164.520404163432,78.9697939984472,227.870888774365,109.378026611695
"CAU_A01 T06_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T06_P1",2018,"PaiSus",48,9,45.6992655536997,10.3,65.4,26.2555555555556,15.2727707130214,0.25,0.1,68.1710453523121,32.7221017691098,155.852303262668,74.8091055660807,224.02334861498,107.531207335191
"CAU_A01 T06_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T06_P2",2018,"PaiSus",50,5,39.6985221993711,10.9,61.2,23.796,14.6202816913592,0.25,0.1,99.8051893345596,47.9064908805886,119.152574091211,57.1932355637812,218.95776342577,105.09972644437
"CAU_A01 T06_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T06_P3",2018,"PaiSus",51,0,85.2590349331099,10.4,141,32.5490196078431,22.800020811824,0.25,0.1,96.266791785307,46.2080600569474,298.966163654908,143.503758554356,395.232955440215,189.711818611303
"CAU_A01 T06_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T06_P4",2018,"PaiSus",46,7,34.0212629080395,10,64,24.0681818181818,14.1617692484111,0.25,0.1,83.5022771185494,40.0810930169037,102.947565958791,49.4148316602199,186.449843077341,89.4959246771236
"CAU_A01 T07_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T07_P1",2018,"PaiSus",40,4,55.9841146379184,10.4,93,29.2421052631579,18.559919495092,0.25,0.1,47.1975521087804,22.6548250122146,203.934616334927,97.8886158407648,251.132168443707,120.543440852979
"CAU_A01 T07_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T07_P2",2018,"PaiSus",44,3,93.2163097397093,10.3,98.5,33.6441860465116,22.0628248237314,0.25,0.1,70.4001907719569,33.7920915705393,342.22531163732,164.268149585914,412.625502409277,198.060241156453
"CAU_A01 T07_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T07_P3",2018,"PaiSus",30,6,29.2103687107389,10.2,70,25.1655172413793,16.4704557110618,0.25,0.1,40.2102008726056,19.3008964188507,100.709774514816,48.3406917671115,140.919975387421,67.6415881859622
"CAU_A01 T07_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T07_P4",2018,"PaiSus",52,0,93.6785596691075,10,151.3,25.9142857142857,24.9029616712551,0.25,0.1,64.115786057567,30.7755773076322,340.138805402617,163.266626593256,404.254591460184,194.042203900888
"CAU_A01 T08_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T08_P1",2018,"PaiSus",46,2,35.6928378746563,10,54.9,25.4173913043478,14.2044954440929,0.25,0.1,70.8341013384405,34.0003686424514,114.922081089294,55.1625989228609,185.756182427734,89.1629675653123
"CAU_A01 T08_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T08_P2",2018,"PaiSus",23,5,16.4655494744583,10.8,51,25.8227272727273,13.6763240611957,0.25,0.1,45.5735743220196,21.8753156745694,47.911744859332,22.9976375324794,93.4853191813517,44.8729532070488
"CAU_A01 T08_P3 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T08_P3",2018,"PaiSus",46,3,62.4142528250039,10.7,64,32.5166666666667,17.3435292870304,0.25,0.1,66.8725636068191,32.0988305312732,223.113395564848,107.094429871127,289.985959171668,139.1932604024
"CAU_A01 T08_P4 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T08_P4",2018,"PaiSus",53,4,72.1535143639739,10,80,31.7320754716981,17.4913470210153,0.25,0.1,91.5316570573409,43.9351953875236,251.939272357673,120.930850731683,343.470929415014,164.866046119207
"CAU_A01 T09_P1 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T09_P1",2018,"PaiSus",50,0,117.723979106223,10.2,170.8,26.316,26.0310596270325,0.25,0.1,81.2322122663971,38.9914618878706,422.726456322747,202.908699034918,503.958668589144,241.900160922789
"CAU_A01 T09_P2 50x50 2018","CAU_A01","50x50","PA","Fazenda Cauaxi","T09_P2",2018,"PaiSus",56,3,71.1508555042313,10,94,27.0910714285714,18.88851769328,0.25,0.1,128.763234733726,61.8063526721886,231.631721992833,111.18322655656,360.39495672656,172.989579228749
